plant,generation,anthocyanin_abosrbance,carotenoid_absorbance,tube_width,corolla_length,corolla_width,corolla_height,calyx_length,petal_extension,pedicel_length,stigma_exsertion,tallest_anther,shortest_anther,stigna_anther_distance
R10,R,0.7905,0.30065,10.84,26.98,20.54,23.025,18.105,2.695,18.285,4.865,28.625,25.515,3.11
R11,R,0.598,0.3346,11.945,29.385,22.16,24.73,18.87,3.57,20.21,7.045,31.26,28.05,3.21
R12,R,0.771,0.3896,12.45,28.185,22.365,25.49,16.76,0.63,18.825,5.72,29.515,26.945,2.57
R13,R,0.588,0.4926,11.31,27.905,19.25,21.52,15.835,4.775,16.73,7.295,28.935,25.625,3.31
R14,R,0.555,0.7109,13.435,31.215,24.63,25.78,20.95,2.91,23.11,10.58,31.72,28.51,3.21
R16,R,0.628,0.3618,11.495,26.535,20.805,23.56,17.535,3.3,20.115,6.01,28.72,26.035,2.685
R17,R,0.4525,0.2807,12.525,33.805,22.04,25.11,20.91,4.94,25.12,8.38,34.815,31.195,3.62
R18,R,0.2895,0.6591,13.18,30.565,23.145,25.55,20.485,4.69,16.625,5.14,31.415,28.055,3.36
R19,R,0.7485,0.49645,13.07,34.05,22.46,24.895,19.67,5.37,25.28,7.585,36.16,32.565,3.595
R2,R,0.376,0.4187,11.21,28.675,19.02,22.835,17.75,5.285,23.02,7.01,28.09,25.745,2.345
R20,R,0.494,0.60465,11.285,29.43,18.14,23.19,17.575,1.23,22.5,6.895,31.35,27.77,3.58
R21,R,0.5715,0.47285,14.14,32.885,24.5,27.985,21.935,4.095,23.945,9.17,35.21,32,3.21
R22,R,0.763,0.4476,12.82,34.27,22.57,25.28,21.76,4.34,22.4,7.76,34.52,31.92,2.6
R23,R,0.6125,0.94505,11.995,33.49,19.605,23.815,22.37,1.325,29.45,7.165,32.85,30.08,2.77
R24,R,0.347,0.3994,11.695,28.235,19.78,21.645,19.42,3.65,20.015,5.68,29,25.91,3.09
R26,R,0.8675,0.34335,12.535,31.055,22.33,25.01,19.59,4.765,23.76,8.78,32.7,29.725,2.975
R27,R,0.57,0.4817,11.68,29.61,21.655,24.395,18.01,3.82,17.625,5.265,30.605,27.745,2.86
R29,R,0.5885,0.55655,11.685,28.165,19.845,22.53,18.375,2.655,25.36,5.775,29.04,26.02,3.02
R3,R,0.4225,0.44645,11.915,30.91,20.97,24.125,17.94,3.055,15.415,4.785,30.645,27.245,3.4
R30,R,0.588,0.5546,12.23,32.475,20.56,21.795,20.12,6.925,27.865,7.945,34.27,30.785,3.485
R32,R,0.3115,0.34805,11.225,29.18,21.94,26.32,17.065,0.955,15.89,6.715,30.19,26.915,3.275
R5,R,0.423,0.5624,12.67,32.67,21.9,24.67,19.455,5.45,20.075,6.405,34.385,31.12,3.265
R6,R,0.5535,0.3482,12.36,33.5,21.065,24.56,18.735,4.065,24.04,5.225,34.105,30.575,3.53
R8,R,0.653,,11.68,30.81,21.71,23.34,22.59,4.46,26.42,7.21,31.71,29.45,2.26
R9,R,0.3865,,11.28,29.39,19.685,24.135,18.425,1.26,26.38,6.93,31.32,27.19,4.13
Y1,Y,,0.12605,17.945,41.68,29.81,40.07,24.205,16.385,7.5,-1.51,35.925,32.16,3.765
Y10,Y,-0.011,0.1534,17.64,36.795,34.1,41.52,21.16,8.815,8.315,-0.68,31.68,28.4,3.28
Y11,Y,-0.001,0.1441,19.31,44.865,30.28,39.81,23.53,15.935,7.355,-1.69,37.2,32.915,4.285
Y12,Y,0.0035,0.126,17.8,38.505,30.085,37.58,22.725,15.45,9,0.435,34.04,30.055,3.985
Y13,Y,0.0045,,17.4,41.1,32.83,39.665,22.695,13.465,6.545,-0.09,36.41,32.095,4.315
Y14,Y,-0.0045,0.2138,18.47,39.63,32.95,38.555,22.365,15.02,5.74,-0.255,32.5,28.495,4.005
Y15,Y,0.0025,0.16425,18.675,42.87,32.27,39.755,21.635,15.635,7.66,-2.05,36.74,32.74,4
Y16,Y,0.0055,,17.1,38.2,29.625,35.12,20.72,14.33,5.735,-1.175,32.53,28.82,3.71
Y17,Y,-0.0025,0.1806,17.865,38.61,34.93,40.31,18.2,10.28,8.88,-1.285,33.615,30.11,3.505
Y18,Y,-0.001,0.23875,17.935,40.26,31.11,37.325,21.36,13.39,8.61,-2.195,33.665,30.15,3.515
Y19,Y,0.006,0.21185,17.675,39.92,31.075,45.575,23.85,12.005,7.265,-0.12,34.245,30.58,3.665
Y2,Y,0.0085,0.18385,16.84,40.4,32.4,37.115,20.49,11.58,8.665,-1.5,34.375,31.205,3.17
Y20,Y,0.0505,,16.68,41.86,27.555,30.73,21.975,14.335,7.59,-0.37,35.76,33.98,1.78
Y21,Y,0.0005,0.21715,17.96,37.36,31.73,34.19,23.5,13.7,7.61,-0.17,32.625,28.545,4.08
Y22,Y,0.0005,0.13965,18.61,41.845,30.49,38.985,23.71,15.805,8.875,0.125,35.675,32.195,3.48
Y23,Y,-0.002,0.1351,17.69,42.04,31.155,37.585,21.46,12.33,11.185,-3.125,36.025,32.175,3.85
Y24,Y,-0.015,0.133,18.605,40.97,33.66,41.125,23.775,11,8.565,-0.395,34.09,30.415,3.675
Y25,Y,-0.006,0.1686,17.51,40.01,28.01,35.53,22.15,12.865,8.375,-1.26,33.74,30.905,2.835
Y26,Y,0.0185,0.1797,16.515,37.405,28.905,35.505,19.935,14.645,9.155,0.015,31.375,28.19,3.185
Y27,Y,0.007,0.22365,17.605,37.825,31.325,35.06,22.035,14.105,9.1,0.265,33.35,29.765,3.585
Y28,Y,-0.0105,0.09765,18.14,38.31,33.205,35.84,21.56,11.93,8.035,-0.295,33.42,30.34,3.08
Y29,Y,0.022,0.08615,16.875,38.075,28.955,34.885,20.91,13.135,7.62,-0.07,31.78,28.555,3.225
Y3,Y,-0.027,0.2205,19.27,37.26,33.31,36.075,21.79,12.58,7.34,-1.725,32.36,28.72,3.64
Y30,Y,0.034,0.16855,16.535,38.67,31.35,35.595,22.58,13.23,7.79,-0.01,33.345,29.635,3.71
Y31,Y,-0.0205,0.1735,18.965,39.72,32.43,36.675,22.28,14.05,9.145,-0.6,34.005,30.585,3.42
Y32,Y,0.004,0.1289,17.07,39.425,27.27,35.905,18.715,13.02,6.835,-1.735,33.09,29.975,3.115
Y4,Y,0.003,0.1425,18.715,39.76,35.755,40.31,22.49,9.755,9.36,-2.205,34.04,30.375,3.665
Y5,Y,0.0085,0.1591,18.35,39.28,35.985,41.645,22.39,7.64,7.53,-2.1,33.895,30.255,3.64
Y6,Y,0.01,0.2516,17.47,35.845,29.4,33.455,21.385,10.44,8.08,-0.395,31.895,28.385,3.51
Y7,Y,-0.035,0.1529,17.845,42.555,32.645,37.765,24.2,14.625,8.01,-1.63,36.645,32.665,3.98
Y8,Y,-0.025,0.1028,16.585,35.955,30.505,33.65,23.54,12.05,7.38,0.48,31.285,27.74,3.545
F1 (4.9 x 1.6),F1,0.1895,,18.57,39.07,27.82,33.34,19.64,7.44,11.09,1.7,36.64,32.51,4.13
F1 (1.6 x 4.7),F1,0.228,,18.28,41.15,30.46,35.72,20.44,9.03,14.02,0.58,38.6,34.1,4.5
F1 (4.2 x 1.6),F1,0.192666667,,13.73,39.06,24.14,26.08,21.89,8.19,12.93,3.4,36.88,32.53,4.35
F1 (4.2 x 1.6),F1,0.1715,,15.74,37.26,25.22,30.76,20.65,9.85,15.87,3.37,36.15,31.7,4.45
F1 (4.9 x 1.6),F1,0.1855,,15.2,38.03,25.33,31.56,18.47,6.79,11.85,,,,
F1 (1.6 x 4.7),F1,0.167,,14.61,38.71,23.73,28.7,18.41,9.69,12.61,1.83,38.34,33.74,4.6
F1 (1.8 x 4.2),F1,0.209,,14.75,35.35,22.79,25.78,18.49,8.77,16.28,,,,
F1 (1.8 x 4.2),F1,0.183,,14.82,38.28,19.01,24.46,18.23,9.58,14.23,4.24,36.03,31.47,4.56
F1 (1.6 x 4.7),F1,0.213,,14.31,39.66,25.94,27.8,21.51,10.72,16.95,4.57,39.13,34.31,4.82
F1 (1.6 x 4.7),F1,0.175,,14.89,38.84,22.9,27.73,23.07,7.65,14.13,4.76,37.41,33.42,3.99
F1 (1.8 x 4.2),F1,0.175,,14.63,38.51,22.71,23.3,20.08,9.85,13.68,4.66,37.2,33.39,3.81
F1 (4.9 x 1.6),F1,0.168,,14.73,38.58,24.2,28.41,19.75,8.39,9.02,3.65,36.38,32.58,3.8
F1 (1.8 x 4.2),F1,0.185,,15.92,37.96,22.22,29.6,18.82,8.95,17.03,4.84,35.15,32.02,3.13
F1 (1.10 x 4.7),F1,0.225,,14.03,39.77,21.22,24.84,18.88,8.84,11.1,0.82,37.81,34.09,3.72
F1 (1.8 x 4.2) 1,F1,0.195,,18.14,41.14,26.54,37.31,22.29,8.9,12.87,3.34,36.8,32.49,4.31
F1 (4.9 x 1.6) 2,F1,0.218,,14.42,38.5,21.36,29.85,19.61,8.72,12.93,4.72,36.75,33.25,3.5
F1 (4.2 x 1.6) 3,F1,0.186,,14.91,41.1,23.25,29.73,22.65,10.94,13.08,3.34,39.08,34.98,4.1
F1 (4.2 x 1.6) 4,F1,0.198,,15.3,41.32,23.11,30.3,21.98,9.03,19.69,4.22,38.92,34.99,3.93
F1 (1.8 x 4.2) 5,F1,0.194,,15.74,40.56,25.22,31,20.09,8.64,14.43,4.01,37.32,33.07,4.25
F1 (1.8 x 4.2) 6,F1,0.181666667,,15.68,37.92,24.13,31.96,18.9,8.44,10.65,2.39,34.8,31.27,3.53
1,F2,0.145,0.51245,16.74,35.2,29.12,36.27,23.21,7.18,18.43,4.75,33.7,30.24,3.46
2,F2,0.330333333,,15.615,33.82,24.95,30.315,23.55,10.12,12.45,4.26,33.765,30.035,3.73
3,F2,0.355,,15.86333333,34.24,27.67333333,29.17333333,21.64333333,10.96,15.58666667,2.036666667,32.38,28.85666667,3.523333333
4,F2,0.059,,14.74,32.64,26.5,33.28,22.27,8.43,13.34,2.41,31.58,27.11,4.47
5,F2,0.065,0.39085,16.17,38.645,28.705,34.33,24.685,11.575,14.885,1.715,35.845,31.805,4.04
6,F2,0.118,0.237,16.545,39.465,30.34,33.01,25.25,9.625,17.68,5.735,38.23,33.255,4.975
7,F2,0.001,0.26045,14.16,32.98,24.435,27.865,20.73,9.425,10.82,1.035,29.81,27.335,2.475
9,F2,0.552,0.35585,15.595,36.63,25.895,31.215,23.02,7.11,16.01,3.985,34.855,30.135,4.72
10,F2,0.357,0.34535,15.02,41.02,27.09,33.065,25.895,7.3,14.78,4.555,37.805,33.145,4.66
11,F2,0.672333333,0.17485,14.62333333,32.02333333,27.40333333,29.46,23.87333333,11.49333333,15.55,7.433333333,31.32,26.93666667,4.383333333
14,F2,0.028,0.2243,13.395,36.01,26.205,34.785,24.495,6.525,15.2,2,33.18,29.815,3.365
15,F2,0.026,0.22775,14.41,35.305,25.615,34.145,22.975,7.72,17.775,6.785,32.99,29.045,3.945
16,F2,0.1895,0.1094,13.24,33.475,22.385,25.7,23.8,9.43,18.995,3.54,32.945,29.275,3.67
17,F2,0.175,,14.69,34.44,24.87,32.07,23.55,9.32,13.19,2.96,34.42,30.47,3.95
19,F2,0.022,0.1964,17.79,40.765,31.06,38.345,25.65,13.14,17.625,2.135,37.175,33.305,3.87
20,F2,0.111,0.37175,16.005,37.23,26.09,32.055,23.545,11.17,15.395,4.13,35.905,31.94,3.965
22,F2,0.6175,0.2337,16.705,37.91,29.375,34.505,22.87,8.385,14.375,2.345,35.79,31.575,4.215
23,F2,0.749,0.2388,15.08333333,34.65333333,25.72,28.95,22.41666667,11.51666667,20.91666667,3.253333333,33.05666667,29.31,3.746666667
24,F2,0.267,,13.485,35.79,23.575,29.5,20.465,7.495,12.23,2.6,31.87,27.965,3.905
26,F2,0.0295,0.1398,15.175,38.82,28.09,33.99,21.89,6.24,11.78,4.18,36.53,32.72,3.81
28,F2,0.1005,0.34625,15.055,35.025,28.91,34.535,20.18,4.855,16.175,4.695,34.925,31.125,3.8
31,F2,0.005333333,0.18805,15.63333333,37.78,24.13666667,29.16,21.45666667,10.36333333,8.01,0.393333333,33.92,30.43,3.49
34,F2,0.032666667,0.1724,16.32333333,38.42,32.16,37.57333333,23.33333333,10.73666667,12.095,2.745,35.585,31.35,4.235
35,F2,0.1115,0.42805,16.785,39.44,29.55,35.915,22.805,8.72,13.26,3.21,36.415,31.845,4.57
36,F2,0.1955,0.29985,16.245,36.935,31.38,34.95,20.84,5.61,10.02,2.81,34.535,29.935,4.6
37,F2,0.004,0.32685,16.775,36.435,28.22,34.78,21.895,10.015,17.52,3.98,33.25,29.36,3.89
39,F2,0.563,,15.18,36.14,24.23,31.025,21.19,9.53,16.755,2.5,34.06,30.21,3.85
40,F2,0.078,0.3872,14.545,34.74,27.7,31.66,22.935,8.88,15.27,5.705,33.95,29.945,4.005
41,F2,0.127,0.331,15.585,35.435,28.195,36.195,22.84,11.195,24.45,2.945,34.97,31.28,3.69
42,F2,0.161,0.31095,13.58666667,32.85333333,24.95666667,27.03666667,20.98,8.583333333,13.50666667,5.273333333,32.36,29.07666667,3.283333333
44,F2,0.1165,0.14445,14.67,34.25666667,24.82333333,28.51666667,20.18,9.893333333,10.44333333,2.123333333,30.65,27.31333333,3.336666667
45,F2,-0.0045,,13.37,30.925,22.315,27.91,16.245,4.985,10.855,2.8,30.275,26.3,3.975
46,F2,0.153333333,,12.04,29.38,24.29333333,28.14666667,23.19666667,7.426666667,18.58333333,6.193333333,30.38,26.61333333,3.766666667
47,F2,0.00595,0.19705,16.68,37.855,25.68,34.845,21.515,12.45,10.535,1.88,35.965,31.805,4.16
48,F2,0.004,0.31655,15.005,34.235,25.37,34.46,19.85,7.88,17.895,4.75,33.505,29.91,3.595
49,F2,0.117,0.47,13.35,32.375,22.82,26.565,19.455,6.54,15.565,4.315,31.87,28.905,2.965
50,F2,0.209,0.2108,15.4,34.085,24.05,28.02,20.6,9.95,8.85,3.71,30.745,27.415,3.33
52,F2,0.0985,0.1142,15.215,35.33,28.335,33.265,22.85,8.525,10.51,3.3,33.18,29.835,3.345
53,F2,0.018333333,0.09935,15.95,36.06333333,27.16666667,27.84,23.19666667,11.43333333,12.79,2.796666667,33.87,29.58666667,4.283333333
54,F2,0.167,0.1295,14.275,38.085,23.925,30.425,22.18,10.715,11.515,1.575,33.16,28.925,4.235
55,F2,0.113,0.4568,16.895,40.155,27.435,33.695,21.64,11.855,13.43,0.865,38.275,32.82,5.455
56,F2,0.13,0.38,15.10666667,36.65333333,26.23,33.28,21.75,8.466666667,19.55333333,2.81,36.60333333,31.61333333,4.99
57,F2,,0.2715,16.595,40.36,27.38,31.975,21.385,9.525,10.105,3.5,40.39,33.36,7.03
58,F2,0.057,0.41815,14.87,32.38,26.335,32.605,20.795,8.54,9.02,7.07,30.835,27.455,3.38
59,F2,0.11,0.2962,16.515,37.475,29.035,33.135,22.55,10.235,9.69,1.915,34.405,30.095,4.31
61,F2,0.15,0.3657,13.735,33.66,25.535,31.78,22.885,11.14,15.82,5.745,31.7,27.675,4.025
62,F2,0.004666667,0.2128,15.29666667,34.35,25.81666667,31.12666667,21.69666667,9.716666667,13.71666667,4.316666667,31.55666667,27.47333333,4.083333333
63,F2,0.5505,0.2013,13.38,31.795,22.955,28.305,19.665,7.335,12.535,5.96,30.68,26.49,4.19
64,F2,0.185,0.3549,14.245,34.99,25.435,33.715,21.23,7.475,14.7,4.485,33,29.745,3.255
65,F2,0.007,0.2002,12.765,31.685,24.98,31.085,22.19,9.065,20.265,5.45,30.3,26.825,3.475
66,F2,0.022,0.22575,13.49333333,34.07666667,23.93,28.24333333,21.85,10.80333333,21.72,5.96,34.08666667,29.96666667,4.12
69,F2,0.3485,0.21275,13.445,34.935,26.185,27.405,22.12,9.97,10.725,4.11,32.25,28.76,3.49
70,F2,,0.2129,16.42,37.275,27.39,34.135,20.975,12.235,27.15,5.115,37.175,32.82,4.355
71,F2,0.2865,0.33975,14.655,35.13,28.12,34.12,21.65,6.145,13.7,3.885,34.315,30.425,3.89
72,F2,-0.0035,0.28115,17.415,38.63,28.54,38.18,19.36,12.965,17.555,4.1,36.205,31.69,4.515
73,F2,0.168,0.27835,15.13,38.64,25.38,31.2,23.095,11.04,24.22,3.52,35.96,31.71,4.25
74,F2,0.5795,0.2778,13.89,36.16333333,23.07,26.49333333,21.03666667,8.26,15.19666667,4.943333333,34.66,30.49333333,4.166666667
75,F2,0.609,0.2851,16.55,41.72,29.33,33.8,26.325,10.99,12.93,1.49,38.115,32.82,5.295
76,F2,0.7205,0.36495,13.61,36.03,23.21666667,27.26666667,22.3,7.695,18.49,4.526666667,34.27666667,30.4,3.876666667
79,F2,0.0585,0.4718,16.03,37.77,28.24,33.82,21.375,9.405,11.705,4.815,35.685,31.38,4.305
80,F2,0.3675,0.3168,14.48666667,36.76666667,24.83666667,26.68666667,21.21,7.933333333,14.33,1.326666667,34.04333333,29.94666667,4.096666667
81,F2,0.0315,0.09435,14.125,37.445,25.58,31.61,19.8,10.21,19.3,4.67,35.905,32.47,3.435
82,F2,0.2105,,15.755,37.76,31.32,38.85,17.41,8.47,14.29,1.31,34.705,30.95,3.755
83,F2,0.597,,13.59,36.76333333,23.83666667,29.12,22.45333333,9.19,17.65,5.216666667,35.47333333,31.17,4.303333333
84,F2,0.0555,0.3635,15.03,36.235,27.875,35.89,21.8,9.065,16.26,2.59,33.425,29.64,3.785
86,F2,0.198,0.23305,14.39,34.11,25.895,32.86,21.225,11.88,15.51,1.65,32.07,28.73,3.34
87,F2,0.629,0.48595,14.905,36.55,26.225,30.965,19.465,8.37,19.73,3.815,34.87,31.425,3.445
88,F2,0.3775,,15.235,35.35,29.735,37.175,20.575,8.505,11.455,2.935,34.895,29.89,5.005
89,F2,0.194,0.26715,14.51,37.20333333,25.94,31.21,23.67333333,8.253333333,21.86666667,3.96,36.47,32.07666667,4.393333333
90,F2,0.113,0.3684,15.705,36.845,32.185,37.885,24.985,8.065,14.67,3.35,34.945,30.726,4.219
91,F2,0.1145,0.2219,15.375,36.45,25.215,31.67,23.075,12.99,12.72,4.04,33.925,29.625,4.3
92,F2,0.016,0.27665,14.945,36.155,25.79,33.97,22.575,9.425,19.135,4.64,36.98,32.725,4.255
94,F2,0.625,0.3097,15.945,37.89,28.75,36.59,24.72,8.5,15.4,1.77,35.605,31.61,3.995
95,F2,0.003,0.19975,13.94,36.51,24.87,27.8,23.76,10.79,14.5,1.83,32.69,29.27,3.42
96,F2,0.130333333,0.18155,16.14333333,35.71333333,28.33333333,32.06,21.61666667,9.756666667,20.83333333,2.403333333,32.84,29.21666667,3.623333333
97,F2,0.089,0.24555,14.485,37.075,23.78,29.225,22.37,11.845,20.55,3.085,35.445,33.495,1.95
98,F2,0.205,0.31635,14.795,32.16,27.505,33.125,19.92,6.48,11.385,6.27,30.04,26.17,3.87
99,F2,0.575,0.3411,14.07,35.16,25.97,33.155,21.35,5.685,14.865,3.4,32.92,28.81,4.11
100,F2,0.152,0.19355,14.005,39.76,26.82,32.6,26.035,12.145,23.695,4.74,38.885,34.245,4.64
102,F2,0.0755,0.43965,14.69,34.31,24.765,32.23,19.23,7.745,14.775,3.065,32.18,29.26,2.92
103,F2,0.087,0.2659,13.265,31.005,24.74,28.705,19.185,8.54,21.25,6.84,30.47,27.62,2.85
105,F2,0.098,0.38435,17.645,39.335,30.485,32.17,24.09,10.605,20.74,1.735,37.51,32.715,4.795
106,F2,0.926,0.3102,16.105,37.695,29.13,34.82,22.51,10.395,12.935,3.76,34.125,29.93,4.195
107,F2,0.1735,0.25495,16.42,37.51,28.265,30.54,22.225,9.1,18.36,5.17,35.43,30.715,4.715
108,F2,0.231,0.2692,13.63,33.77333333,23.63,25.98,20.55,8.323333333,29.58,4.633333333,32.78333333,29.33666667,3.446666667
109,F2,0.0065,0.1565,13.95,34.015,24.28,28.435,22.35,9.825,21.795,6.675,33.31,29.37,3.94
111,F2,0.0745,0.16965,13.27,31.535,23.52,27.915,21.35,9.235,21.475,5.105,31.235,26.86,4.375
112,F2,0.2395,0.37035,15.25,38.36,25.07,31.025,23.305,6.63,19.625,6.76,37.32,32.915,4.405
113,F2,0.156,0.2629,15.905,40.055,30.4,38.02,26.02,10.44,22.715,5.905,37.69,32.515,5.175
114,F2,0.8185,0.2834,14.965,36.225,30.68,35.12,24.77,10.2,24.835,5.47,34.3,29.945,4.355
116,F2,0.159,0.43745,14.37,35.595,26.805,34.06,22.855,10.145,14.565,3.55,34.01,29.905,4.105
119,F2,0.2725,0.23615,13.275,34.28,21.49,26.45,20.98,8.335,14.1,3.84,31.855,28.19,3.665
121,F2,0.299666667,0.14045,14.06333333,36.32333333,27.25333333,29.72333333,23.83666667,9.553333333,10.25333333,3.58,33.345,29.535,3.81
122,F2,0.041,0.16795,13.545,36.305,26.78,33.66,23.22,11.975,18.785,1.52,34.39,30.485,3.905
123,F2,0.4465,0.32425,15.70666667,38.97333333,26.82333333,32.17,22.2,12.28333333,21.96666667,4.28,37.44333333,33.13333333,4.31
125,F2,0.213,0.34415,14.28,38.24,24.545,29.045,22.555,11.05,10.675,5.425,35.49,30.64,4.85
128,F2,0.406,0.19765,15.25,36.8,30.4,35.72,23.55,7.9,16.24,3.77,36.67,32.8,3.87
130,F2,0.147,,14.855,36.09,27.5,32.86,20.175,5.745,15.125,1.71,34.315,30.185,4.13
131,F2,0.1715,0.28865,13.105,32.435,27.615,32.195,22.195,10.355,11.39,5.835,32.52,28.035,4.485
132,F2,0.798,0.28135,11.84,33.60333333,23.42333333,25.91666667,23.40333333,8.966666667,30.89,5.63,33.39666667,29.42333333,3.973333333
133,F2,0.1895,0.4476,16.15,39.565,28.07,35.315,22.955,10.95,17.275,6.985,37.71,32.015,5.695
135,F2,0.568,0.3072,12.925,30.9,25.27,27.24,22.155,5.335,19.445,4.155,29.75,26.425,3.325
136,F2,-0.0175,0.1496,16.315,38.51,31.01,37.395,23.85,10.885,30.37,3.755,36.05,32.205,3.845
