lg,center,width,muL,muR,varL,varR,varH
1,532.0492,7455.201,0.9983878,0.03391674,4.80E-05,0.004185953,0.08491464
2,-248.2315,9183.443,0.9864558,0.01221921,0.001642841,0.000751628,0.09536413
3,1667.339,7254.393,0.9873619,0.04588026,0.000481233,0.004022344,0.2442311
4,1287.937,7731.317,0.9833972,0.03809322,0.000625958,0.006554457,0.1390932
5,2093.736,11711,1.002587,0,0.000428782,0.000867587,0.08161747
6,1215.186,9580.03,1,0.000991391,0.013582,1.63E-01,0.005003118
7,1322.372,10239.38,0.993881,0,0.001259193,0.006865649,0.1944805
8,567.4395,7532.728,0.9899999,0.05585126,0.000206476,0.01614983,0.2012653
9,1581.394,12445.64,0.9992931,4.26E-05,1.56E-05,0.000220087,0.07897756
10,-34.28873,11867.11,0.9808582,0.02954717,0.03907235,0.00198575,0.1059695
ave,998.493247,9500.0242,0.99222219,0.021654185,0.005736243,0.020460329,0.123091652